fp_plate	fp_well	piq_plate	piq_well	miseq_plate	miseq_well	miseq_experiment_name	notes		
HUPFP0021_14	B01	HUEDQ0509	C03	Miseq_018	163				
HUPFP0021_14	G11	HUEDQ0506	H02	Miseq_016	112				
HUPFP0021_14	A02	HUEDQ0509	B03	Miseq_018	162				
HUPFP0021_14	A01	HUEDQ0506	B03	Miseq_016	114				
HUPFP0021_14	C03	HUEDQ0509	D03	Miseq_018	164				
HUPFP0021_14	F01	HUEDQ0506	A03	Miseq_016	113				
HUPFP0023_3	H05	HUEDQ0511	C03	Miseq_021	139				
HUPFP0023_3	A02	HUEDQ0511	D03	Miseq_021	140				
HUPFP0029_7	A07	HUEDQ0518	D03	Miseq_028	164				
HUPFP0029_7	E01	HUEDQ0518	E03	Miseq_028	165				
HUPFP0029_7	A09	HUEDQ0517	A01	Miseq_028	121				
HUPFP0029_7	B03	HUEDQ0517	D01	Miseq_028	124				
HUPFP0029_7	A08	HUEDQ0517	B01	Miseq_028	122				
HUPFP0029_7	B01	HUEDQ0517	C01	Miseq_028	123				
HUPFP0067A5	A03	HUEDQ0560	E08	Miseq_094	157				
HUPFP0067A5	A04	HUEDQ0560	F08	Miseq_094	158				
HUPFP0067A5	A06	HUEDQ0561	A10	Miseq_097	169				
HUPFP0067A5	A11	HUEDQ0560	G08	Miseq_094	159				
HUPFP0028_15	B02	HUEDQ0519	A02	Miseq_030	177		I couldn't find B02 or B06 on any of the HUEDQ cards, when I looked at the freeze plate HUPFP0028_15 it is split into 2 (first half of the plate was HUPFP0028_14 second half _15 so HUPFP0028_15_B02 and A06 doesn't exist. If you shift the plate to the second half of the plate then the locations are correct for B08 and A12		
HUPFP0028_15	A06	HUEDQ0519	B02	Miseq_030	178		I couldn't find B02 or B06 on any of the HUEDQ cards, when I looked at the freeze plate HUPFP0028_15 it is split into 2 (first half of the plate was HUPFP0028_14 second half _15 so HUPFP0028_15_B02 and A06 doesn't exist. If you shift the plate to the second half of the plate then the locations are correct for B08 and A12		
HUPFP0068B8	B08	HUEDQ0563	A11	Miseq_100	177				
HUPFP0072A8	F06	HUEDQ0563	A10	Miseq_100	169				
HUPFP0072A8	C07	HUEDQ0562	B03	Miseq_099	18				
HUPFP0029_14_15	H02	HUEDQ0517	H01	Miseq_028	128				
HUPFP0029_14_15	A01	HUEDQ0517	F01	Miseq_028	126				
HUPFP0029_14_15	E04	HUEDQ0517	G01	Miseq_028	127				
HUPFP0029_14_15	A10	HUEDQ0517	E01	Miseq_028	129		Different clone on HUEDQ0517 should be KAT6A D04. Can't find A10 on any other HUEDQ plates		
HUPFP0067A2	H01	HUEDQ0558	F09	Miseq_092	166				
HUPFP0067A2	B02	HUEDQ0558	B09	Miseq_092	162				
HUPFP0067A2	D04	HUEDQ0558	D09	Miseq_092	164				
HUPFP0067A2	A05	HUEDQ0558	G08	Miseq_092	159				
HUPFP0067A2	A07	HUEDQ0559	D08	Miseq_093	156		Wrong clones on HUEDQ plate should be;		C03
HUPFP0067A2	B07	HUEDQ0559	E08	Miseq_093	157				D06
HUPFP0067A2	C07	HUEDQ0559	F08	Miseq_093	158				C10
HUPFP0067A2	D07	HUEDQ0559	G08	Miseq_093	159				D07
HUPFP0067A2	A09	HUEDQ0558	H08	Miseq_092	160				
HUPFP0067A2	B11	HUEDQ0558	C09	Miseq_092	163				
HUPFP0067A2	G11	HUEDQ0558	E09	Miseq_092	165				
HUPFP0067A2	A12	HUEDQ0558	A09	Miseq_092	161				
HUPFP0036_2	D02	HUEDQ0527	H02	Miseq_040	184				
HUPFP0036_2	D07	HUEDQ0527	G02	Miseq_040	183				
HUPFP0026_1	A01	HUEDQ0513	C01	Miseq_023	171				
HUPFP0026_1	D01	HUEDQ0516	A03	Miseq_027	113				
HUPFP0026_1	F01	HUEDQ0516	F02	Miseq_027	110				
HUPFP0026_1	H01	HUEDQ0519	H01	Miseq_030	176				
HUPFP0026_1	B03	HUEDQ0513	A01	Miseq_023	169				
HUPFP0026_1	F03	HUEDQ0516	B03	Miseq_027	114				
HUPFP0026_1	G03	HUEDQ0519	F01	Miseq_030	174				
HUPFP0026_1	H03	HUEDQ0515	B02				None of the clones seem to appear (or should appear) on HUEDQ0515 and I can't find where these clones are??		
HUPFP0026_1	E04	HUEDQ0513	D01	Miseq_023	172				
HUPFP0026_1	G04	HUEDQ0519	G01	Miseq_030	175				
HUPFP0026_1	D05	HUEDQ0513	B01	Miseq_023	170				
HUPFP0026_1	B06	HUEDQ0519	E01	Miseq_030	173				
HUPFP0026_1	D07	HUEDQ0517	F02				None of the clones seem to appear (or should appear) on HUEDQ0515 and I can't find where these clones are??		
HUPFP0026_1	E07	HUEDQ0515	G01				None of the clones seem to appear (or should appear) on HUEDQ0515 and I can't find where these clones are??		
HUPFP0026_1	H07	HUEDQ0516	G02	Miseq_027	111				
HUPFP0026_1	E08	HUEDQ0515	C02				None of the clones seem to appear (or should appear) on HUEDQ0515 and I can't find where these clones are??		
HUPFP0026_1	E09	HUEDQ0516	H02	Miseq_027	112				
HUPFP0026_1	G09	HUEDQ0513	E01	Miseq_023	173				
HUPFP0026_1	A10	HUEDQ0515	A02				None of the clones seem to appear (or should appear) on HUEDQ0515 and I can't find where these clones are??		
HUPFP0026_1	C12	HUEDQ0515	H01				None of the clones seem to appear (or should appear) on HUEDQ0515 and I can't find where these clones are??		
HUPFP0042_2B	G10	HUEDQ0537	C03	Miseq_054	139				
HUPFP0042_2B	D03	HUEDQ0537	D03	Miseq_054	140				
HUPFP0042_2B	A06	HUEDQ0537	E03	Miseq_054	141				
HUPFP0068A8	C04	HUEDQ0563	D11	Miseq_100	180				
HUPFP0068A8	B05	HUEDQ0565	H05	Miseq_100	232				
HUPFP0068A8	C09	HUEDQ0563	B11	Miseq_100	178				
HUPFP0068A8	A10	HUEDQ0565	G05	Miseq_100	231				
HUPFP0068A8	E10	HUEDQ0565	A06	Miseq_100	233				
HUPFP0068A8	A12	HUEDQ0563	C11	Miseq_100	179				
HUPFP0072A14	G05	HUEDQ0562	A03	Miseq_099	17	HUEDQ0562_ADAMTS9_2			
HUPFP0072A14	A07	HUEDQ0562	H02	Miseq_099	16	HUEDQ0562_ADAMTS9_2			
HUPFP0044_9	G01	HUEDQ0541	A01	Miseq_061	121	HUEDQ0541_PYCARD1_2			
HUPFP0044_9	C06	HUEDQ0541	C01	Miseq_061	123	HUEDQ0541_PYCARD1_2			
HUPFP0044_9	A03	HUEDQ0541	D01	Miseq_061	124	HUEDQ0541_PYCARD1_2			
HUPFP0044_9	B02	HUEDQ0541	B01	Miseq_061	122	HUEDQ0541_PYCARD1_2			
HUPFP0020_4	A01	HUEDQ0506	F02	Miseq_016	110	HUEDQ0506_TCF4_1			
HUPFP0020_4	H12	HUEDQ0506	G02	Miseq_016	111	HUEDQ0506_TCF4_1			
HUPFP0020_4	A02	HUEDQ0506	E02	Miseq_016	109	HUEDQ0506_TCF4_1			
HUPFP0027_6	E04	HUEDQ0519	D02	Miseq_030	180	HUEDQ0519_NOTCH1_2			
HUPFP0027_6	F06	HUEDQ0519	F02	Miseq_030	182	HUEDQ0519_NOTCH1_2			
HUPFP0027_6	A01	HUEDQ0519	E02	Miseq_030	181	HUEDQ0519_NOTCH1_2			
HUPFP0027_6	E02	HUEDQ0519	C02	Miseq_030	179	HUEDQ0519_NOTCH1_2			
HUPFP0020_3	A01	HUEDQ0507	A03	Miseq_018	113	HUEDQ0507_SMARCA4_1			
HUPFP0020_3	D03	HUEDQ0507	G02	Miseq_018	111	HUEDQ0507_SMARCA4_1			
HUPFP0020_3	A02	HUEDQ0507	H02	Miseq_018	112	HUEDQ0507_SMARCA4_1			
HUPFP0072A2	G02	HUEDQ0562	F02	Miseq_099	14	HUEDQ0562_RAC2_2			
HUPFP0072A2	H04	HUEDQ0562	G02	Miseq_099	15	HUEDQ0562_RAC2_2			
HUPFP0072A2	C05	HUEDQ0563	B10	Miseq_100	170	HUEDQ0563_RAC2_2			
HUPFP0072A2	D07	HUEDQ0562	E02	Miseq_099	13	HUEDQ0562_RAC2_2			
HUPFP0020_12	A08	HUEDQ0506	A02	Miseq_016	105	HUEDQ0506_IFNB_1	Recorded on LIMS2 as IFNB (Not IFNB1)		
HUPFP0020_12	B08	HUEDQ0506	C02	Miseq_016	107	HUEDQ0506_IFNB_1	Recorded on LIMS2 as IFNB (Not IFNB1)		
HUPFP0020_12	E08	HUEDQ0511	D02	Miseq_021	132	HUEDQ0511_IFNB_1	Recorded on LIMS2 as IFNB (Not IFNB1)		
HUPFP0020_12	F08	HUEDQ0506	B02	Miseq_016	106	HUEDQ0506_IFNB_1	Recorded on LIMS2 as IFNB (Not IFNB1)		
HUPFP0020_12	A09	HUEDQ0506	D02	Miseq_016	108	HUEDQ0506_IFNB_1	Recorded on LIMS2 as IFNB (Not IFNB1)		
HUPFP0090B4	A03	HUEDQ0568	E11	Miseq_102	181	HUEDQ0568_ZBTB18_2			
HUPFP0090B4	A08	HUEDQ0568	F11	Miseq_102	182	HUEDQ0568_ZBTB18_2			
HUPFP0090B4	G09	HUEDQ0568	G11	Miseq_102	183	HUEDQ0568_ZBTB18_2			
HUPFP0021_7	H12	HUEDQ0509	A01	Miseq_018	145	HUEDQ0509_IFITM3_3			
HUPFP0021_7	F01	HUEDQ0509	F01	Miseq_018	150	HUEDQ0509_IFITM3_3			
HUPFP0021_7	C11	HUEDQ0509	C01	Miseq_018	147	HUEDQ0509_IFITM3_3			
HUPFP0021_7	H09	HUEDQ0509	G01	Miseq_018	151	HUEDQ0509_IFITM3_3			
HUPFP0021_7	G01	HUEDQ0509	H01	Miseq_018	152	HUEDQ0509_IFITM3_3			
HUPFP0021_7	E08	HUEDQ0509	E01	Miseq_018	149	HUEDQ0509_IFITM3_3			
HUPFP0021_7	E01	HUEDQ0509	D01	Miseq_018	148	HUEDQ0509_IFITM3_3			
HUPFP0021_7	F11	HUEDQ0509	B01	Miseq_018	146	HUEDQ0509_IFITM3_3			
HUPFP0021_12	A09	HUEDQ0514	H03	Miseq_023	168	HUEDQ0514_PTGER4_1			
HUPFP0021_12	A03	HUEDQ0513	H01	Miseq_023	176	HUEDQ0513_PTGER4_1			
HUPFP0021_12	F01	HUEDQ0513	B02	Miseq_023	178	HUEDQ0513_PTGER4_1			
HUPFP0021_12	A02	HUEDQ0513	G01	Miseq_023	175	HUEDQ0513_PTGER4_1			
HUPFP0021_12	E08	HUEDQ0513	C03	Miseq_023		HUEDQ0513_PTGER4_1	Not on either HUEDQ plates and can't find anywhere else		
HUPFP0021_12	A04	HUEDQ0513	A02	Miseq_023	177	HUEDQ0513_PTGER4_1			
HUPFP0021_12	B04	HUEDQ0513	F01	Miseq_023	174	HUEDQ0513_PTGER4_1			
HUPFP0028_6	D04	HUEDQ0518	H02	Miseq_028	160	HUEDQ0518_TBL1XR1_2			
HUPFP0028_6	D06	HUEDQ0518	B03	Miseq_028	162	HUEDQ0518_TBL1XR1_2			
HUPFP0028_6	F08	HUEDQ0518	C03	Miseq_028	163	HUEDQ0518_TBL1XR1_2			
HUPFP0028_6	G10	HUEDQ0518	A03	Miseq_028	161	HUEDQ0518_TBL1XR1_2			
HUPFP0020_1	C07	HUEDQ0511	A02	Miseq_021	129	HUEDQ0511_ADNP_1			
HUPFP0020_1	A02	HUEDQ0508	F01	Miseq_018	126	HUEDQ0508_ADNP_1			
HUPFP0020_1	B04	HUEDQ0511	H01	Miseq_021	128	HUEDQ0511_ADNP_1			
HUPFP0020_1	A01	HUEDQ0508	G01	Miseq_018	127	HUEDQ0508_ADNP_1			
HUPFP0048_10	A02	HUEDQ0535	E01	Miseq_054	173	HUEDQ0535_B_LYST_2			
HUPFP0048_10	H02	HUEDQ0535	D01	Miseq_054	172	HUEDQ0535_B_LYST_2			
HUPFP0048_10	B03	HUEDQ0535	B01	Miseq_054	170	HUEDQ0535_B_LYST_2			
HUPFP0048_10	B05	HUEDQ0535	C01	Miseq_054	171	HUEDQ0535_B_LYST_2			
HUPFP0048_10	E05	HUEDQ0535	F01	Miseq_054	174	HUEDQ0535_B_LYST_2			
HUPFP0048_10	A06	HUEDQ0535	A01	Miseq_054	169	HUEDQ0535_B_LYST_2			
HUPFP0019_3	F01	HUEDQ0515	H03	Miseq_027	120	HUEDQ0516_NSD1_1	Actually HUEDQ0516		
HUPFP0019_3	H01	HUEDQ0515	C03	Miseq_027	115	HUEDQ0516_NSD1_1			
HUPFP0019_3	B02	HUEDQ0515	G03	Miseq_027	119	HUEDQ0516_NSD1_1			
HUPFP0019_3	D02	HUEDQ0517	D03				Not on HUEDQ0517 and can't find anywhere else		
HUPFP0019_3	E02	HUEDQ0515	F03	Miseq_027	118	HUEDQ0516_NSD1_1			
HUPFP0019_3	A03	HUEDQ0517	C03				Not on HUEDQ0517 and can't find anywhere else		
HUPFP0019_3	D05	HUEDQ0515	D03	Miseq_027	116	HUEDQ0516_NSD1_1			
HUPFP0019_3	A06	HUEDQ0515	E03	Miseq_027	117	HUEDQ0516_NSD1_1			
HUPFP0021_10	A02	HUEDQ0508	H01	Miseq_018	8	HUEDQ0508_PTGES_1			
HUPFP0021_10	C03	HUEDQ0508	B02	Miseq_018	10	HUEDQ0508_PTGES_1			
HUPFP0021_10	A04	HUEDQ0508	A02	Miseq_018	9	HUEDQ0508_PTGES_1			
HUPFP0042_4	F01	HUEDQ0537	D01	Miseq_054	124	HUEDQ0537_CMTR2_2			
HUPFP0042_4	C12	HUEDQ0537	E01	Miseq_054	125	HUEDQ0537_CMTR2_2			
HUPFP0042_4	H01	HUEDQ0537	F01	Miseq_054	126	HUEDQ0537_CMTR2_2			
HUPFP0017_4	A01	HUEDQ0505	E03	Miseq_016	116	HUEDQ0505_CHD4_1			
HUPFP0017_4	B02	HUEDQ0505	D03	Miseq_016	117	HUEDQ0505_CHD4_1			
HUPFP0017_4	B03	HUEDQ0513	A03	Miseq_023	185	HUEDQ0513_CHD4_1			
HUPFP0048_14	D01	HUEDQ0535	H01	Miseq_052	176	HUEDQ0535_2			
HUPFP0048_14	B02	HUEDQ0537	B03	Miseq_054	138	HUEDQ0537_PLCB3_2			
HUPFP0048_14	A03	HUEDQ0535	A02	Miseq_052	177	HUEDQ0535_2			
HUPFP0048_14	D04	HUEDQ0537	A03	Miseq_054	137	HUEDQ0537_PLCB3_2			
HUPFP0048_14	C05	HUEDQ0535	G01	Miseq_052	175	HUEDQ0535_2			
HUPFP0048_14	G11	HUEDQ0537	H02	Miseq_054	136	HUEDQ0537_PLCB3_2			
HUPFP0019_1	C01	HUEDQ0503	E01	Miseq_015	101	HUPEPD0503_SMARCA2_1			
HUPFP0019_1	H07	HUEDQ0503	H01	Miseq_015	104	HUPEPD0503_SMARCA2_1			
HUPFP0019_1	A01	HUEDQ0503	F01	Miseq_015	102	HUPEPD0503_SMARCA2_1			
HUPFP0019_1	C07	HUEDQ0504	H03	Miseq_015	144	HUPEPD0504_SMARCA2_1			
HUPFP0019_1	G07	HUEDQ0503	G01	Miseq_015	103	HUPEPD0503_SMARCA2_1			
HUPFP0019_1	B01	HUEDQ0504	G03	Miseq_015	143	HUPEPD0504_SMARCA2_1			
HUPFP0067A6	D03	HUEDQ0558	A07	Miseq_092	145	HUEDQ0558_CTCF			
HUPFP0067A6	E08	HUEDQ0560	H08	Miseq_094	160	HUEDQ0560_CTCF_1			
HUPFP0067A6	H09	HUEDQ0559	H08				Cannot find on HUEDQ0559 All different CTCF clones		
HUPFP0067A6	A10	HUEDQ0559	A09				Cannot find on HUEDQ0559 All different CTCF clones		
HUPFP0067A6	B10	HUEDQ0559	B09				Cannot find on HUEDQ0559 All different CTCF clones		
HUPFP0067A6	C10	HUEDQ0559	C09				Cannot find on HUEDQ0559 All different CTCF clones		
HUPFP0067A6	D10	HUEDQ0559	D09				Cannot find on HUEDQ0559 All different CTCF clones		
HUPFP0067A6	E10	HUEDQ0559	E09				Cannot find on HUEDQ0559 All different CTCF clones		
HUPFP0069A6	B01	HUEDQ0565	H06	Miseq_100	240	HUEDQ0565_KAT6B_1			
HUPFP0069A6	H03	HUEDQ0565	C07	Miseq_100	243	HUEDQ0565_KAT6B_1			
HUPFP0069A6	C04	HUEDQ0567	G07	Miseq_101	151	HUEDQ0567_KAT6B_1			
HUPFP0069A6	H04	HUEDQ0565	D07	Miseq_100	244	HUEDQ0565_KAT6B_1			
HUPFP0069A6	A05	HUEDQ0565	G06	Miseq_100	239	HUEDQ0565_KAT6B_1			
HUPFP0069A6	C06	HUEDQ0563	F10	Miseq_100	174	HUEDQ0563_KAT6B_1			
HUPFP0069A6	C07	HUEDQ0565	A07	Miseq_100	241	HUEDQ0565_KAT6B_1			
HUPFP0069A6	E07	HUEDQ0565	B07	Miseq_100	242	HUEDQ0565_KAT6B_1			
HUPFP0069A6	A08	HUEDQ0565	E07	Miseq_100	245	HUEDQ0565_KAT6B_1			
HUPFP0069A6	F11	HUEDQ0567	H07	Miseq_101	152	HUEDQ0567_KAT6B_1			
HUPFP0069A6	C12	HUEDQ0565	F07	Miseq_100	246	HUEDQ0565_KAT6B_1			
HUPFP0069A6	F12	HUEDQ0567	A08	Miseq_101	153	HUEDQ0567_KAT6B_1			
HUPFP0067B6	E01	HUEDQ0560	D09	Miseq_094	164	HUEDQ0560_CTCF_1			
HUPFP0067B6	D03	HUEDQ0560	B09	Miseq_094	162	HUEDQ0560_CTCF_1			
HUPFP0067B6	B04	HUEDQ0560	A09	Miseq_094	161	HUEDQ0560_CTCF_1			
HUPFP0067B6	C05	HUEDQ0561	A07	Miseq_097		HUEDQ0561_CTCF_1_P2	Can't find on HUEDQ0561		
HUPFP0067B6	D12	HUEDQ0560	C09	Miseq_094	163	HUEDQ0560_CTCF_1			
HUPFP0068A2	A01	HUEDQ0562	A01	Miseq_099	1	HUEDQ0562_KMT2A_1			
HUPFP0068A2	A02	HUEDQ0562	B01	Miseq_099	2	HUEDQ0562_KMT2A_1			
HUPFP0068A2	A03	HUEDQ0562	C01	Miseq_099	3	HUEDQ0562_KMT2A_1			
HUPFP0068A2	F03	HUEDQ0562	A02	Miseq_099	9	HUEDQ0562_KMT2A_1			
HUPFP0068A2	A04	HUEDQ0562	D01	Miseq_099	4	HUEDQ0562_KMT2A_1			
HUPFP0068A2	H04	HUEDQ0562	D02	Miseq_099	12	HUEDQ0562_KMT2A_1			
HUPFP0068A2	A05	HUEDQ0562	E01	Miseq_099	5	HUEDQ0562_KMT2A_1			
HUPFP0068A2	G05	HUEDQ0562	C02	Miseq_099	11	HUEDQ0562_KMT2A_1			
HUPFP0068A2	A06	HUEDQ0562	F01	Miseq_099	6	HUEDQ0562_KMT2A_1			
HUPFP0068A2	C06	HUEDQ0562	G01	Miseq_099	7	HUEDQ0562_KMT2A_1			
HUPFP0068A2	C08	HUEDQ0562	H01	Miseq_099	8	HUEDQ0562_KMT2A_1			
HUPFP0068A2	F08	HUEDQ0562	B02	Miseq_099	10	HUEDQ0562_KMT2A_1			
HUPFP0020_9	E02	HUEDQ0509	E03	Miseq_018	165	HUEDQ0509_RAB32_2			
HUPFP0020_9	F01	HUEDQ0506	G03	Miseq_016	119	HUEDQ0506_RAB32_2			
HUPFP0020_9	G12	HUEDQ0507	C02	Miseq_018	107	HUEDQ0507_RAB32_2			
HUPFP0020_9	H09	HUEDQ0511	E02	Miseq_021	133	HUEDQ0511_RAB32_2			
HUPFP0020_9	H11	HUEDQ0506	H03	Miseq_016	120	HUEDQ0506_RAB32_2			
HUPFP0021_3	A02	HUEDQ0509	A02	Miseq_018	153	HUEDQ0509_NHLRC2_1			
HUPFP0021_3	A01	HUEDQ0509	E02	Miseq_018	157	HUEDQ0509_NHLRC2_1			
HUPFP0021_3	B01	HUEDQ0509	F02	Miseq_018	158	HUEDQ0509_NHLRC2_1			
HUPFP0021_3	B02	HUEDQ0509	G02	Miseq_018	159	HUEDQ0509_NHLRC2_1			
HUPFP0021_3	D06	HUEDQ0509	B02	Miseq_018	154	HUEDQ0509_NHLRC2_1			
HUPFP0021_3	H02	HUEDQ0509	D02	Miseq_018	156	HUEDQ0509_NHLRC2_1			
HUPFP0021_3	G04	HUEDQ0509	C02	Miseq_018	155	HUEDQ0509_NHLRC2_1			
HUPFP0021_3	H09	HUEDQ0509	H02	Miseq_018	160	HUEDQ0509_NHLRC2_1			
HUPFP0036_4	B05	HUEDQ0527	C02	Miseq_040	179	HUEDQ0527_IFNB1_1			
HUPFP0036_4	A09	HUEDQ0527	D02	Miseq_040	180	HUEDQ0527_IFNB1_1			
HUPFP0021_6	G07	HUEDQ0511	C01	Miseq_021	123	HUEDQ0511_IFNAR1_1			
HUPFP0021_6	D08	HUEDQ0511	B01	Miseq_021	122	HUEDQ0511_IFNAR1_1			
HUPFP0021_6	B01	HUEDQ0511	E01	Miseq_021	125	HUEDQ0511_IFNAR1_1			
HUPFP0021_6	B08	HUEDQ0511	D01	Miseq_021	124	HUEDQ0511_IFNAR1_1			
HUPFP0021_6	B02	HUEDQ0511	A01	Miseq_021	121	HUEDQ0511_IFNAR1_1			
HUPFP0045_7	A02	HUEDQ0541	G02	Miseq_061	111	HUEDQ0541_ARF6_2			
HUPFP0045_7	A05	HUEDQ0541	H02	Miseq_061	112	HUEDQ0541_ARF6_2			
HUPFP0045_7	A11	HUEDQ0541	A03	Miseq_061	113	HUEDQ0541_ARF6_2			
HUPFP0045_7	H11	HUEDQ0541	B03	Miseq_061	114	HUEDQ0541_ARF6_2			
HUPFP0021_15	A03	HUEDQ0508	B03	Miseq_018	138	HUEDQ0508_S100A9_2			
HUPFP0021_15	C11	HUEDQ0508	D03	Miseq_018	140	HUEDQ0508_S100A9_2			
HUPFP0021_15	C03	HUEDQ0508	F03	Miseq_018	142	HUEDQ0508_S100A9_2			
HUPFP0021_15	A02	HUEDQ0508	A03	Miseq_018	137	HUEDQ0508_S100A9_2			
HUPFP0021_15	D08	HUEDQ0508	G03	Miseq_018	143	HUEDQ0508_S100A9_2			
HUPFP0021_15	C02	HUEDQ0508	C03	Miseq_018	139	HUEDQ0508_S100A9_2			
HUPFP0021_15	D03	HUEDQ0508	E03	Miseq_018	141	HUEDQ0508_S100A9_2			
HUPFP0027_3	B11	HUEDQ0517	H02	Miseq_028	136	HUEDQ0517_AHR_1			
HUPFP0068A6	A01	HUEDQ0561	H07	Miseq_097	152	HUEDQ0561_SETD1A_1			
HUPFP0068A6	C01	HUEDQ0561	E07	Miseq_097	149	HUEDQ0561_SETD1A_1			
HUPFP0068A6	A02	HUEDQ0561	A08	Miseq_097	153	HUEDQ0561_SETD1A_1			
HUPFP0068A6	C05	HUEDQ0561	F07	Miseq_097	150	HUEDQ0561_SETD1A_1			
HUPFP0068A6	C06	HUEDQ0561	G07	Miseq_097	151	HUEDQ0561_SETD1A_1			
HUPFP0068A6	B07	HUEDQ0561	D08	Miseq_097	156	HUEDQ0561_SETD1A_1			
HUPFP0068A6	A08	HUEDQ0561	B08	Miseq_097	154	HUEDQ0561_SETD1A_1			
HUPFP0068A6	B08	HUEDQ0561	C07	Miseq_097	147	HUEDQ0561_SETD1A_1			
HUPFP0068A6	B09	HUEDQ0561	D07	Miseq_097	148	HUEDQ0561_SETD1A_1			
HUPFP0068A6	A11	HUEDQ0561	C08	Miseq_097	155	HUEDQ0561_SETD1A_1			
HUPFP0090A4	B01	HUEDQ0567	E08	Miseq_101	157	HUEDQ0567_ZBTB18_2			
HUPFP0090A4	B02	HUEDQ0567	F08	Miseq_101	158	HUEDQ0567_ZBTB18_2			
HUPFP0090A4	F02	HUEDQ0565	C05	Miseq_100	227	HUEDQ0565_ZBTB18_2			
HUPFP0090A4	G02	HUEDQ0565	B05	Miseq_100	226	HUEDQ0565_ZBTB18_2			
HUPFP0090A4	B03	HUEDQ0567	A09	Miseq_101	161	HUEDQ0567_ZBTB18_2			
HUPFP0090A4	C03	HUEDQ0567	B09	Miseq_101	162	HUEDQ0567_ZBTB18_2			
HUPFP0090A4	D03	HUEDQ0567	G08	Miseq_101	159	HUEDQ0567_ZBTB18_2			
HUPFP0090A4	D04	HUEDQ0567	H08	Miseq_101	160	HUEDQ0567_ZBTB18_2			
HUPFP0090A4	E04	HUEDQ0565	A05	Miseq_100	225	HUEDQ0565_ZBTB18_2			
HUPFP0090A4	D06	HUEDQ0567	C09	Miseq_101	163	HUEDQ0567_ZBTB18_2			
HUPFP0072A12	B03	HUEDQ0563	C10	Miseq_100	171	HUEDQ0563_FBN1_3			
HUPFP0072A12	H06	HUEDQ0563	D10	Miseq_100	172	HUEDQ0563_FBN1_3			
HUPFP0036_1	A01	HUEDQ0527	B01	Miseq_040	170	HUEDQ0527_PHF8_2			
HUPFP0036_1	C04	HUEDQ0527	A01	Miseq_040	169	HUEDQ0527_PHF8_2			
HUPFP0028_9	B05	HUEDQ0518	F02				Not on HUEDQ0518 (LIMS suggest HUEDQ513 and 516 but I can't find these clones on either of those plates)		
HUPFP0028_9	A02	HUEDQ0518	D02						
HUPFP0028_9	A01	HUEDQ0518	B02						
HUPFP0028_9	B03	HUEDQ0518	C02						
HUPFP0028_9	D06	HUEDQ0518	G02						
HUPFP0028_9	A03	HUEDQ0518	E02						
HUPFP0021_5	H02	HUEDQ0514	D03	Miseq_023	164	HUEDQ0514_YDJC_1			
